date,direction,entry,stop,take,exit_price,result,pnl
2026-01-09,SHORT,83246.0,83373.0,82992.0,82992.0,win,254.0
2026-01-12,LONG,82931.0,82508.0,83777.0,82790.0,timeout(loss),-141.0
2026-01-13,SHORT,82838.0,83140.0,82234.0,82813.0,timeout(win),25.0
2026-01-14,SHORT,82849.0,83100.0,82347.0,82347.0,win,502.0
2026-01-15,SHORT,82238.0,82500.0,81714.0,82500.0,loss,-262.0
2026-01-16,LONG,81720.0,81480.0,82200.0,82159.0,timeout(win),439.0
2026-01-19,LONG,82131.0,81890.0,82613.0,81890.0,loss,-241.0
2026-01-20,SHORT,81563.0,81697.0,81295.0,81697.0,loss,-134.0
2026-01-21,SHORT,81574.0,81910.0,80902.0,80902.0,win,672.0
2026-01-22,SHORT,79963.0,80458.0,78973.0,79394.0,timeout(win),569.0
2026-01-23,LONG,79515.0,79324.0,79897.0,79491.0,timeout(loss),-24.0
2026-01-26,SHORT,79238.0,79507.0,78700.0,79507.0,loss,-269.0
2026-01-27,SHORT,80206.0,80609.0,79400.0,79620.0,timeout(win),586.0
2026-01-28,LONG,79569.0,79200.0,80307.0,80008.0,timeout(win),439.0
2026-01-29,SHORT,79588.0,79836.0,79092.0,79836.0,loss,-248.0
2026-01-30,LONG,79028.0,78810.0,79464.0,79464.0,win,436.0
2026-02-02,LONG,80200.0,79877.0,80846.0,80846.0,win,646.0
2026-02-03,LONG,80205.0,80013.0,80589.0,80013.0,loss,-192.0
2026-02-04,SHORT,80450.0,80602.0,80146.0,80146.0,win,304.0
2026-02-05,SHORT,79276.0,79890.0,78048.0,79890.0,loss,-614.0
2026-02-06,SHORT,79750.0,79997.0,79256.0,79997.0,loss,-247.0
2026-02-09,SHORT,79935.0,80250.0,79305.0,80250.0,loss,-315.0
2026-02-10,LONG,80031.0,79767.0,80559.0,79767.0,loss,-264.0
2026-02-11,LONG,80010.0,79891.0,80248.0,79891.0,loss,-119.0
2026-02-12,SHORT,79597.0,79678.0,79435.0,79678.0,loss,-81.0
2026-02-13,SHORT,79497.0,79615.0,79261.0,79261.0,win,236.0
2026-02-16,SHORT,78611.0,78747.0,78339.0,78339.0,win,272.0
2026-02-17,SHORT,78707.0,78929.0,78263.0,78263.0,win,444.0
2026-02-18,SHORT,78100.0,78220.0,77860.0,77860.0,win,240.0
2026-02-19,SHORT,78500.0,78740.0,78020.0,78020.0,win,480.0
2026-02-20,LONG,77920.0,77790.0,78180.0,77790.0,loss,-130.0
2026-02-24,SHORT,78003.0,78200.0,77609.0,77609.0,win,394.0
2026-02-25,SHORT,77280.0,77420.0,77000.0,77420.0,loss,-140.0
2026-02-26,SHORT,78814.0,79180.0,78082.0,78244.0,timeout(win),570.0
2026-02-27,SHORT,78364.0,78592.0,77908.0,78592.0,loss,-228.0
2026-03-02,LONG,78055.0,77757.0,78651.0,78651.0,win,596.0
2026-03-03,SHORT,78745.0,78891.0,78453.0,78891.0,loss,-146.0
2026-03-04,SHORT,78649.0,78795.0,78357.0,78795.0,loss,-146.0
2026-03-05,SHORT,79265.0,79475.0,78845.0,79475.0,loss,-210.0
2026-03-06,LONG,80499.0,80320.0,80857.0,80320.0,loss,-179.0
2026-03-09,LONG,79467.0,79124.0,80153.0,79124.0,loss,-343.0
2026-03-10,LONG,79669.0,79380.0,80247.0,79380.0,loss,-289.0
2026-03-11,SHORT,79457.0,79813.0,78745.0,79656.0,timeout(loss),-199.0
2026-03-12,SHORT,79360.0,79544.0,78992.0,79544.0,loss,-184.0
2026-03-13,SHORT,80210.0,80424.0,79782.0,80424.0,loss,-214.0
2026-03-16,SHORT,80401.0,80711.0,79781.0,80711.0,loss,-310.0
2026-03-17,SHORT,81555.0,81878.0,80909.0,81878.0,loss,-323.0
2026-03-18,LONG,82872.0,82668.0,83280.0,82668.0,loss,-204.0
2026-03-19,LONG,83811.0,83371.0,84691.0,83371.0,loss,-440.0
2026-03-20,SHORT,82645.0,83333.0,81269.0,83333.0,loss,-688.0
2026-03-23,LONG,83300.0,82762.0,84376.0,82762.0,loss,-538.0
2026-03-24,LONG,81224.0,80826.0,82020.0,80826.0,loss,-398.0
2026-03-25,LONG,80640.0,80217.0,81486.0,81428.0,timeout(win),788.0
2026-03-26,LONG,82136.0,81600.0,83208.0,81600.0,loss,-536.0
2026-03-27,LONG,81015.0,80419.0,82207.0,81915.0,timeout(win),900.0
2026-03-30,SHORT,81634.0,82097.0,80708.0,82097.0,loss,-463.0
2026-03-31,LONG,82055.0,81640.0,82885.0,81640.0,loss,-415.0
2026-04-01,SHORT,81895.0,82164.0,81357.0,81357.0,win,538.0
2026-04-02,SHORT,80912.0,81353.0,80030.0,80858.0,timeout(win),54.0
2026-04-03,SHORT,80313.0,80640.0,79659.0,80640.0,loss,-327.0
2026-04-06,SHORT,79409.0,79740.0,78747.0,79740.0,loss,-331.0
2026-04-07,SHORT,79605.0,79830.0,79155.0,79830.0,loss,-225.0
2026-04-08,SHORT,79450.0,79657.0,79036.0,79036.0,win,414.0
2026-04-09,SHORT,79000.0,79279.0,78442.0,78442.0,win,558.0
2026-04-10,SHORT,78000.0,78335.0,77330.0,77695.0,timeout(win),305.0
2026-04-13,SHORT,77024.0,77343.0,76386.0,77343.0,loss,-319.0
2026-04-14,SHORT,76816.0,77179.0,76090.0,76090.0,win,726.0
2026-04-15,SHORT,75804.0,75998.0,75416.0,75998.0,loss,-194.0
2026-04-16,SHORT,76238.0,76620.0,75474.0,76620.0,loss,-382.0
2026-04-17,SHORT,76965.0,77226.0,76443.0,77226.0,loss,-261.0
2026-04-20,LONG,76577.0,76380.0,76971.0,76380.0,loss,-197.0
2026-04-21,SHORT,75723.0,75888.0,75393.0,75393.0,win,330.0
2026-04-22,LONG,75950.0,75553.0,76744.0,75719.0,timeout(loss),-231.0
2026-04-23,SHORT,75588.0,75776.0,75212.0,75776.0,loss,-188.0
2026-04-24,SHORT,76572.0,77050.0,75616.0,75891.0,timeout(win),681.0
